x1 x2 x3 x4 label
83 36 81 20 1
3 42 65 20 0
36 68 80 47 1
10 94 91 43 0
63 31 20 70 1
9 60 91 35 0
83 76 18 74 1
98 97 43 3 1
12 58 1 0 1
39 24 58 36 1
99 69 6 3 1
98 40 60 33 1
28 68 26 96 1
51 73 53 69 1
33 7 94 72 0
84 7 67 85 1
91 67 84 71 1
83 95 0 5 1
91 30 73 83 1
7 21 92 8 0
43 46 0 51 1
38 89 74 98 1
87 96 83 26 1
78 32 70 97 1
44 59 57 50 1
45 4 57 93 1
91 17 35 66 1
20 45 57 79 0
36 62 4 77 1
30 87 98 35 0
73 90 55 26 1
22 76 79 98 0
90 51 46 80 1
61 60 47 0 1
10 75 13 71 1
94 6 45 30 1
15 41 38 53 1
43 82 7 92 1
65 41 66 92 1
78 91 31 93 1
50 46 93 33 1
12 96 80 66 0
72 10 90 27 1
56 65 64 69 1
88 34 79 3 1
60 37 43 83 1
88 70 20 6 1
28 6 66 92 0
92 69 73 54 1
77 21 31 81 1
35 8 25 21 1
45 86 16 25 1
37 1 5 70 1
12 90 74 54 0
78 62 72 71 1
45 5 47 59 1
42 67 10 57 1
91 89 3 78 1
82 69 58 4 1
17 69 63 94 1
24 3 69 40 0
36 58 49 55 1
24 33 18 97 1
78 7 53 46 1
33 81 29 12 1
46 32 34 87 1
25 46 52 64 1
76 73 18 4 1
7 3 48 76 0
37 48 82 51 0
49 71 90 49 1
29 3 74 84 0
65 20 80 42 1
28 26 87 52 0
48 66 9 2 1
89 90 68 10 1
12 97 37 39 1
32 33 26 99 1
89 50 88 82 1
20 94 28 72 1
18 25 24 39 1
28 24 18 67 1
44 83 45 54 1
0 10 67 6 0
91 99 57 70 1
19 34 50 20 0
43 0 66 97 0
12 15 33 23 0
12 5 38 1 0
10 6 6 38 1
75 85 50 51 1
2 76 29 9 1
72 5 53 65 1
43 79 62 76 1
47 76 21 18 1
89 13 94 92 1
85 6 48 40 1
26 30 5 15 1
63 37 59 95 1
96 80 32 62 1
10 12 93 64 0
29 90 22 19 1
5 36 83 5 0
92 76 26 83 1
12 7 52 80 0
29 0 87 79 0
74 3 61 67 1
16 73 84 56 0
62 56 48 17 1
57 9 62 79 1
78 33 4 16 1
71 62 23 91 1
7 22 98 30 0
80 27 47 11 1
87 78 30 90 1
34 54 81 35 0
71 59 37 68 1
53 13 19 8 1
96 81 69 1 1
29 5 80 40 0
22 30 19 4 1
20 74 67 86 1
60 93 41 40 1
60 81 51 40 1
59 94 29 97 1
94 37 88 16 1
99 39 29 65 1
23 72 0 87 1
37 63 26 89 1
89 6 88 79 1
41 17 80 43 0
69 19 22 11 1
11 33 7 26 1
48 71 54 96 1
82 87 21 2 1
8 10 5 38 1
38 65 59 36 1
5 5 38 35 0
88 49 79 84 1
9 4 49 24 0
94 2 83 3 1
77 11 13 81 1
26 70 47 98 1
21 20 42 57 1
17 89 85 55 0
68 98 11 98 1
97 19 11 97 1
25 97 95 45 0
6 89 88 38 0
51 16 23 90 1
3 90 46 29 1
2 5 71 15 0
78 35 52 7 1
51 51 29 55 1
11 67 77 55 0
88 68 86 57 1
93 11 78 82 1
89 3 37 7 1
29 78 11 73 1
11 16 60 63 0
59 1 18 53 1
28 64 85 88 0
73 8 82 11 1
92 51 81 55 1
15 3 88 85 0
28 58 85 78 0
65 76 11 25 1
11 90 34 1 1
16 1 16 33 1
33 44 40 72 1
77 83 32 23 1
68 31 22 64 1
31 79 83 15 1
51 12 45 10 1
80 70 21 94 1
67 80 64 1 1
50 96 82 82 1
57 22 15 15 1
28 71 27 88 1
57 58 88 76 1
13 18 78 78 0
20 71 55 44 1
91 44 15 87 1
75 77 29 95 1
82 4 28 65 1
49 49 87 57 1
80 41 90 66 1
47 17 20 38 1
64 6 22 79 1
74 34 40 38 1
21 34 32 42 1
44 99 41 27 1
48 10 68 17 1
3 94 87 29 0
30 75 66 93 1
60 7 51 73 1
87 64 17 40 1
21 94 26 15 1
17 10 17 3 1
73 29 67 71 1
80 98 4 61 1
90 6 32 81 1
37 27 51 78 1
59 86 95 8 1
56 29 28 95 1
34 58 81 92 1
16 72 59 7 1
12 32 84 75 0
93 40 0 84 1
92 77 37 47 1
61 50 68 76 1
57 4 36 80 1
82 37 94 35 1
48 0 49 57 1
9 50 97 48 0
12 70 36 99 1
36 30 19 38 1
44 35 14 29 1
51 60 81 67 1
29 27 3 33 1
51 27 56 21 1
39 74 29 29 1
61 58 24 16 1
64 98 13 1 1
2 66 19 76 1
30 39 85 77 0
49 26 12 64 1
1 36 10 32 1
28 58 66 92 1
65 77 83 47 1
81 36 71 53 1
70 9 15 18 1
29 53 60 42 1
82 2 29 17 1
35 19 16 23 1
12 99 56 66 1
20 3 81 44 0
38 42 74 37 1
40 27 4 51 1
22 37 35 30 1
7 88 88 15 0
10 19 77 56 0
18 71 60 24 1
32 39 16 52 1
90 80 46 96 1
94 84 23 15 1
44 83 55 98 1
27 45 98 81 0
87 27 77 48 1
87 94 5 97 1
98 28 65 68 1
85 72 33 99 1
48 99 89 69 1
65 99 71 1 1
1 71 25 77 1
50 27 96 43 0
19 98 45 80 1
43 67 8 83 1
46 64 20 96 1
98 5 85 24 1
2 71 75 28 0
95 65 80 82 1
14 21 69 33 0
2 27 19 15 1
71 29 35 97 1
48 49 80 56 1
63 88 58 5 1
51 61 83 17 1
45 96 62 22 1
97 9 5 76 1
61 42 16 59 1
17 68 60 25 1
14 61 53 81 1
29 70 28 74 1
5 84 55 50 1
86 53 10 43 1
59 30 59 14 1
48 56 65 7 1
69 15 52 32 1
87 78 34 29 1
51 89 53 4 1
64 26 84 5 1
88 17 68 56 1
32 81 72 73 1
31 94 73 48 1
99 32 14 61 1
87 32 56 28 1
43 97 50 46 1
72 37 2 17 1
15 67 85 93 0
22 82 7 55 1
49 26 4 89 1
26 60 83 78 0
18 96 91 36 0
20 3 18 77 1
51 49 31 97 1
18 12 91 98 0
71 94 45 80 1
65 88 16 45 1
91 37 50 24 1
48 76 4 51 1
46 40 14 10 1
27 78 13 4 1
86 15 29 78 1
42 25 75 95 0
91 22 43 84 1
55 2 25 0 1
95 56 70 82 1
86 62 46 89 1
77 12 62 37 1
83 31 28 59 1
83 40 89 29 1
28 52 42 10 1
84 17 0 39 1
38 98 65 48 1
86 45 49 22 1
92 65 85 66 1
32 50 70 35 1
23 82 89 79 0
27 85 1 9 1
81 11 64 67 1
61 54 36 84 1
19 69 84 62 0
68 41 80 16 1
57 5 96 22 0
3 8 62 92 0
41 74 92 95 1
11 34 91 49 0
71 39 58 5 1
73 88 12 97 1
59 78 15 4 1
22 52 66 71 0
72 5 39 79 1
79 41 89 22 1
89 89 19 62 1
29 9 11 99 1
26 82 72 1 1
99 46 55 10 1
74 24 95 43 1
91 13 78 55 1
5 23 42 49 0
75 56 43 24 1
81 21 94 18 1
63 89 29 37 1
49 40 95 11 0
56 63 14 32 1
65 65 36 25 1
76 72 50 12 1
24 19 67 10 0
7 52 92 14 0
72 46 99 35 1
81 23 61 53 1
12 45 7 47 1
39 94 19 50 1
65 43 82 78 1
89 56 72 50 1
34 90 11 11 1
36 49 76 81 1
95 74 48 74 1
11 93 34 74 1
76 39 10 2 1
75 46 51 41 1
91 3 16 63 1
64 13 38 4 1
3 19 81 16 0
71 24 11 22 1
60 91 2 8 1
72 89 38 52 1
97 88 63 21 1
4 31 75 37 0
7 22 42 59 0
95 54 73 51 1
82 23 83 25 1
57 69 89 45 1
88 51 59 44 1
26 43 32 30 1
14 71 96 61 0
1 47 43 90 0
15 68 74 85 0
39 94 86 0 1
81 58 12 91 1
43 54 47 22 1
31 34 98 42 0
68 62 36 83 1
44 81 70 6 1
48 9 28 77 1
56 9 85 66 0
9 36 28 64 1
74 13 2 37 1
71 87 94 81 1
3 98 80 82 0
50 61 82 28 1
35 53 26 42 1
46 69 28 43 1
83 62 74 74 1
9 91 99 75 0
96 38 31 22 1
91 57 21 97 1
61 41 99 41 1
23 52 23 72 1
41 60 47 15 1
36 65 94 42 0
0 83 6 93 1
67 31 29 16 1
67 26 6 11 1
81 55 43 67 1
20 91 92 14 0
14 80 99 63 0
43 27 87 20 0
23 34 32 65 1
22 21 57 68 0
45 39 24 86 1
17 52 90 8 0
5 97 86 82 0
10 62 29 11 1
30 71 58 94 1
42 85 71 25 1
54 83 25 45 1
3 84 83 37 0
33 60 89 7 0
60 37 84 98 1
16 45 39 33 1
97 65 73 87 1
68 24 6 97 1
60 88 61 59 1
74 29 28 24 1
3 82 21 6 1
84 21 27 26 1
89 64 3 53 1
37 7 80 75 0
11 2 54 5 0
17 78 5 78 1
81 30 98 3 1
0 93 44 44 1
61 0 17 29 1
91 34 59 21 1
63 94 17 38 1
79 1 15 86 1
17 53 22 77 1
47 66 11 9 1
40 54 51 47 1
4 10 6 44 1
72 8 72 18 1
2 69 93 29 0
27 17 58 11 0
49 72 88 3 1
11 57 50 15 1
57 3 60 39 1
85 29 53 67 1
56 75 79 45 1
90 79 97 11 1
5 30 58 68 0
59 32 37 43 1
60 45 29 27 1
27 29 72 75 0
97 78 38 11 1
74 89 32 50 1
40 70 30 22 1
75 35 84 68 1
63 4 49 29 1
63 61 91 83 1
90 26 73 50 1
95 94 17 71 1
56 35 73 92 1
47 48 71 67 1
71 62 72 37 1
5 97 55 92 1
46 38 49 8 1
65 66 62 16 1
61 66 11 31 1
10 20 14 52 1
71 29 5 14 1
79 51 32 23 1
91 6 73 65 1
75 87 70 40 1
60 36 12 35 1
62 69 62 58 1
76 18 0 1 1
84 77 90 21 1
78 13 67 17 1
5 26 63 27 0
41 13 45 48 1
56 58 17 86 1
95 89 92 77 1
7 26 17 68 1
43 47 94 92 0
72 58 27 6 1
7 53 26 75 1
37 93 49 20 1
93 56 61 55 1
92 23 57 9 1
0 19 71 50 0
38 67 30 37 1
56 5 59 80 1
90 61 31 70 1
89 75 17 31 1
31 84 90 39 1
50 74 38 68 1
39 79 13 35 1
11 75 54 36 1
82 75 51 34 1
58 80 28 9 1
8 17 92 25 0
94 59 94 59 1
58 18 12 1 1
27 10 67 61 0
16 27 6 0 1
7 25 67 59 0
36 44 85 72 0
38 42 97 36 0
68 91 13 13 1
41 72 6 94 1
12 98 3 16 1
5 40 55 29 0
53 22 23 36 1
59 34 70 6 1
88 76 17 95 1
48 37 0 74 1
4 95 60 10 1
29 97 13 19 1
41 76 44 51 1
16 37 14 36 1
4 47 0 49 1
37 75 44 69 1
16 16 10 5 1
23 47 67 38 0
18 94 80 31 1
42 47 21 97 1
55 74 31 83 1
66 19 31 19 1
39 39 61 97 1
44 54 94 62 0
76 16 80 6 1
68 45 84 30 1
76 53 33 90 1
18 6 2 26 1
25 13 63 91 0
62 57 37 45 1
21 69 49 25 1
12 52 70 47 0
73 10 72 90 1
16 95 94 38 0
48 60 6 70 1
1 63 65 21 0
46 0 86 36 0
26 20 84 34 0
61 30 27 73 1
72 52 84 23 1
62 48 59 43 1
42 13 9 27 1
90 34 70 41 1
37 6 58 85 0
3 75 11 29 1
78 83 26 80 1
35 52 17 80 1
10 60 73 99 0
25 26 51 79 1
27 4 85 53 0
23 22 92 43 0
6 13 77 17 0
40 94 68 18 1
2 27 8 79 1
51 87 47 63 1
30 13 92 46 0
14 46 45 97 1
4 10 63 18 0
72 58 73 13 1
12 29 78 77 0
9 46 60 76 0
29 75 24 59 1
72 15 54 32 1
80 11 15 25 1
21 22 81 92 0
91 72 91 92 1
99 30 41 9 1
52 43 81 50 1
16 64 26 7 1
54 82 58 75 1
57 58 76 13 1
72 18 17 42 1
44 98 75 87 1
70 78 46 54 1
50 43 65 78 1
6 47 44 9 0
3 9 34 94 0
1 38 78 80 0
94 50 13 86 1
46 99 87 37 1
93 90 82 86 1
6 74 43 1 1
73 90 48 79 1
17 19 19 65 1
27 35 9 13 1
53 70 88 10 1
43 5 40 15 1
14 85 0 35 1
97 14 6 88 1
3 68 95 27 0
67 34 41 13 1
17 40 74 38 0
42 67 27 60 1
15 34 50 44 0
84 52 25 75 1
44 81 5 83 1
71 68 95 93 1
91 32 41 82 1
29 13 9 54 1
8 25 33 17 0
47 16 49 62 1
71 94 80 86 1
37 9 46 12 1
88 22 56 78 1
45 33 62 4 1
69 76 41 12 1
0 69 22 97 1
49 65 10 70 1
16 71 27 38 1
84 41 82 70 1
38 34 74 40 0
40 27 94 36 0
98 59 89 27 1
56 58 31 48 1
3 64 37 39 1
12 84 75 76 0
91 47 57 21 1
12 17 39 31 0
29 55 65 37 1
0 23 13 8 1
84 53 82 80 1
13 8 6 27 1
37 35 40 26 1
94 76 57 45 1
80 58 23 72 1
80 18 74 15 1
88 64 3 90 1
20 47 62 97 0
24 82 40 9 1
72 71 92 41 1
19 86 67 78 1
66 87 24 84 1
35 46 32 34 1
42 92 37 82 1
55 35 99 65 0
93 20 99 46 1
98 91 62 62 1
78 30 91 51 1
4 68 6 41 1
3 39 27 13 1
44 0 74 93 0
78 0 0 96 1
11 29 5 69 1
57 30 18 16 1
81 75 9 9 1
90 76 64 28 1
77 87 58 48 1
27 25 84 76 0
24 5 34 76 1
59 43 79 59 1
21 12 98 5 0
20 31 98 23 0
19 85 47 6 1
68 73 24 47 1
32 74 90 91 0
16 98 22 28 1
28 78 89 5 0
66 35 75 51 1
77 99 56 95 1
94 5 29 91 1
53 65 61 26 1
28 39 97 47 0
32 4 54 0 0
11 51 99 68 0
26 15 92 16 0
70 95 2 17 1
65 32 97 38 1
68 94 4 79 1
21 10 16 2 1
46 61 46 32 1
23 61 1 36 1
89 8 47 91 1
0 35 26 62 0
52 22 31 1 1
93 3 3 98 1
36 42 20 5 1
88 83 54 3 1
83 23 48 94 1
30 89 7 42 1
12 4 27 76 0
74 43 53 10 1
43 6 71 0 0
51 34 96 23 0
64 71 30 18 1
32 2 38 12 1
64 72 3 13 1
90 3 70 6 1
20 58 2 85 1
47 52 58 82 1
80 57 43 33 1
69 93 79 89 1
24 60 64 61 1
77 12 70 49 1
3 32 49 99 0
13 75 17 68 1
87 47 74 38 1
48 36 93 25 0
35 71 64 64 1
8 67 6 7 1
51 77 82 17 1
3 8 47 43 0
61 3 44 75 1
49 50 10 43 1
79 91 62 99 1
82 62 35 85 1
28 59 97 89 0
74 1 21 25 1
10 41 13 51 1
66 82 84 7 1
40 56 85 37 1
46 83 90 55 1
6 0 8 85 1
37 67 46 41 1
92 63 57 39 1
65 51 61 69 1
58 91 95 40 1
73 53 7 99 1
47 69 41 28 1
85 11 3 18 1
35 46 17 27 1
54 73 19 71 1
71 43 44 46 1
34 33 74 69 0
92 46 32 83 1
39 30 95 47 0
1 32 63 45 0
55 64 85 22 1
27 5 35 35 1
67 28 91 9 1
43 3 11 51 1
86 4 29 60 1
44 2 94 69 0
47 76 17 79 1
56 41 24 85 1
3 60 46 31 0
70 51 97 47 1
11 62 8 62 1
3 55 54 41 0
54 25 6 71 1
63 93 69 38 1
67 7 43 23 1
88 29 51 17 1
56 43 33 48 1
78 42 80 1 1
53 64 56 15 1
80 72 20 61 1
63 54 43 25 1
0 49 39 2 0
70 3 30 13 1
20 75 11 5 1
16 77 62 8 1
27 6 42 4 1
15 60 0 39 1
37 6 93 58 0
25 76 64 62 1
52 50 49 28 1
71 65 50 7 1
26 40 61 48 1
22 14 63 95 0
85 52 7 36 1
80 70 20 38 1
4 16 98 56 0
14 15 88 14 0
10 4 84 52 0
75 53 93 67 1
44 90 91 2 1
60 66 23 28 1
53 18 59 65 1
68 36 81 24 1
89 76 34 85 1
56 63 73 36 1
41 6 17 31 1
6 50 16 30 1
28 75 32 89 1
38 29 2 83 1
76 18 64 41 1
22 17 42 4 1
4 18 69 14 0
10 50 93 83 0
34 3 8 90 1
82 68 7 93 1
35 79 46 45 1
67 58 3 70 1
66 24 55 59 1
35 3 71 27 0
66 71 10 63 1
5 40 86 52 0
43 65 6 28 1
5 74 7 29 1
82 47 60 63 1
66 41 29 96 1
49 60 52 25 1
36 19 96 91 0
26 56 56 28 1
45 87 82 5 1
65 85 34 1 1
93 98 14 30 1
9 54 27 7 1
76 93 36 38 1
92 85 87 37 1
20 13 40 50 0
54 65 72 58 1
73 49 17 49 1
89 87 57 74 1
90 13 31 21 1
97 1 96 43 1
55 70 34 94 1
46 90 17 12 1
52 47 39 48 1
55 25 64 60 1
30 92 87 79 1
38 86 48 7 1
37 66 77 20 1
46 93 32 52 1
55 19 56 22 1
86 60 34 61 1
54 38 85 92 1
48 34 61 65 1
54 17 52 34 1
43 13 17 31 1
21 98 1 69 1
47 38 63 31 1
92 68 37 7 1
67 54 21 21 1
57 90 66 92 1
47 32 33 99 1
58 32 17 9 1
99 44 86 5 1
86 9 65 61 1
5 68 7 54 1
19 51 38 13 1
11 87 54 53 1
75 40 95 3 1
61 2 71 2 1
25 46 5 16 1
8 81 92 78 0
56 6 77 56 1
92 3 59 4 1
0 75 38 6 1
20 70 16 64 1
67 69 61 39 1
59 80 89 94 1
27 75 64 33 1
25 52 14 48 1
34 40 50 62 1
43 38 19 42 1
98 21 20 90 1
35 27 3 89 1
7 4 4 53 1
9 68 33 49 1
74 23 57 96 1
77 21 92 23 1
5 61 2 0 1
9 71 29 21 1
80 78 83 37 1
90 76 79 83 1
18 66 16 75 1
99 9 73 30 1
22 20 83 68 0
79 33 64 15 1
77 9 49 10 1
34 39 48 44 1
1 72 0 11 1
26 94 42 19 1
85 1 60 82 1
92 62 11 49 1
63 9 24 68 1
26 52 54 85 1
78 29 1 78 1
0 15 33 32 0
69 30 47 58 1
73 7 30 85 1
30 41 8 65 1
85 8 49 64 1
91 50 48 89 1
29 71 26 95 1
14 19 8 39 1
29 23 77 40 0
1 89 88 30 0
41 80 62 75 1
71 85 88 37 1
43 59 36 32 1
73 16 35 3 1
39 37 3 40 1
58 99 1 3 1
11 3 59 12 0
96 39 50 0 1
54 54 87 71 1
59 65 98 13 1
56 30 85 81 1
23 35 33 6 1
24 34 57 73 0
24 93 5 48 1
25 68 38 0 1
59 78 73 50 1
28 15 66 36 0
7 81 31 43 1
41 79 28 54 1
52 42 31 86 1
57 23 68 64 1
17 70 68 75 0
96 80 2 74 1
39 38 54 0 1
9 75 44 52 1
81 47 69 48 1
38 36 4 75 1
39 93 62 45 1
75 42 32 1 1
47 34 42 42 1
74 42 46 79 1
90 40 80 43 1
92 64 63 44 1
2 22 24 44 0
83 94 77 7 1
83 99 53 62 1
29 84 8 74 1
41 34 46 61 1
75 72 55 85 1
68 47 7 56 1
85 86 70 19 1
43 70 96 86 1
21 11 43 67 0
96 29 21 81 1
69 91 1 33 1
40 43 51 94 1
82 54 79 51 1
45 93 4 56 1
48 20 16 53 1
85 66 20 56 1
24 43 84 63 0
15 97 24 88 1
91 61 3 19 1
12 44 74 9 0
63 92 46 95 1
87 13 69 45 1
7 41 16 50 1
39 35 28 81 1
37 1 81 30 0
34 3 33 43 1
89 1 98 56 1
49 40 82 41 1
54 85 47 92 1
65 41 38 12 1
79 28 25 53 1
86 63 91 77 1
33 78 8 68 1
46 85 45 92 1
22 14 0 50 1
54 50 9 33 1
40 40 7 26 1
29 50 57 17 1
10 43 62 97 0
65 19 93 6 1
5 68 66 40 0
80 71 40 24 1
87 52 22 41 1
6 78 51 39 1
24 31 20 18 1
35 96 84 88 1
96 91 44 82 1
22 98 31 50 1
18 78 7 11 1
63 74 57 58 1
38 41 86 64 0
34 81 42 52 1
70 3 40 91 1
76 39 85 25 1
0 34 65 43 0
37 89 87 42 1
68 52 71 93 1
1 23 87 88 0
89 69 22 80 1
95 64 67 97 1
31 70 52 64 1
8 24 70 75 0
68 62 71 25 1
51 42 5 37 1
4 62 42 12 1
16 57 69 13 0
11 86 39 0 1
24 27 30 88 1
92 24 94 52 1
32 62 61 99 1
86 47 8 3 1
52 78 60 59 1
81 59 83 88 1
88 99 65 76 1
84 7 86 44 1
79 32 33 77 1
1 3 39 62 0
62 27 58 98 1
47 25 80 73 1
25 64 15 80 1
7 23 40 38 0
37 68 98 86 0
60 49 30 97 1
91 71 77 89 1
37 31 49 47 1
53 8 18 84 1
25 39 93 2 0
50 81 97 3 1
26 53 88 63 0
94 57 65 82 1
71 43 69 58 1
40 19 34 85 1
88 94 65 0 1
88 47 4 64 1
36 60 50 55 1
84 68 5 61 1
78 22 79 83 1
76 61 39 32 1
57 30 84 20 1
58 69 74 88 1
75 21 70 65 1
52 13 79 43 1
85 67 93 9 1
54 88 55 55 1
56 49 20 37 1
53 61 83 40 1
67 37 3 84 1
38 94 33 89 1
41 22 66 57 1
27 58 28 60 1
99 47 33 25 1
74 72 81 89 1
7 51 29 39 1
41 20 33 10 1
76 47 2 96 1
88 53 69 19 1
0 17 87 84 0
58 36 12 44 1
79 37 24 45 1
52 84 60 7 1
23 20 69 7 0
36 9 69 25 0
33 84 64 33 1
83 73 2 16 1
87 61 58 25 1
42 80 17 40 1
60 81 41 38 1
76 70 24 33 1
78 69 9 37 1
11 25 16 83 1
61 23 50 9 1
42 41 26 42 1
62 11 71 91 1
32 30 86 29 0
32 66 22 47 1
40 24 14 2 1
67 33 42 36 1
0 24 50 38 0
55 12 15 26 1
23 56 93 16 0
82 45 33 3 1
58 71 57 20 1
88 66 60 10 1
51 98 88 0 1
70 13 25 91 1
47 69 23 51 1
54 24 77 21 1
13 66 41 1 1
58 52 0 57 1
14 7 48 73 0
49 4 16 16 1
63 16 67 54 1
2 32 57 70 0
85 28 22 27 1
49 4 4 95 1
66 89 94 75 1
74 66 75 76 1
84 9 35 51 1
6 31 27 10 1
48 72 89 79 1
26 69 82 64 0
36 32 37 82 1
77 83 66 40 1
0 38 64 9 0
62 49 3 5 1
81 18 45 75 1
64 38 41 17 1
44 18 63 6 1
79 54 60 39 1
0 37 36 7 0
45 11 4 70 1
38 40 62 70 1
80 34 80 96 1
28 32 49 8 1
21 50 24 16 1
85 10 32 8 1
59 70 90 91 1
45 89 20 84 1
77 34 4 48 1
78 24 65 43 1
77 97 76 16 1
57 5 97 95 0
8 33 54 64 0
32 95 2 27 1
80 87 66 71 1
45 20 64 7 1
89 24 65 99 1
62 94 34 92 1
98 21 87 17 1
69 3 89 21 1
59 6 61 83 1
22 23 85 76 0
22 60 10 78 1
57 41 69 39 1
74 61 90 26 1
83 46 16 1 1
83 78 9 63 1
63 60 35 99 1
8 90 56 45 1
77 61 89 44 1
52 14 13 58 1
6 72 51 14 1
28 29 95 94 0
8 66 56 79 0
56 56 92 98 1
37 42 88 5 0
14 56 98 11 0
16 31 76 58 0
59 64 61 98 1
64 57 16 4 1
3 5 94 50 0
42 84 48 45 1
15 92 91 55 0
59 55 33 11 1
91 34 88 13 1
7 24 65 99 0
82 40 55 65 1
27 15 15 41 1
77 6 96 92 1
56 52 6 78 1
31 6 33 58 1
46 26 51 32 1
60 46 95 7 1
49 39 65 5 1
27 38 45 23 1
12 9 29 29 0
13 87 24 9 1
68 37 56 75 1
86 60 24 52 1
53 98 46 33 1
13 97 71 12 1
73 46 29 12 1
55 48 35 34 1
58 60 1 17 1
43 55 9 55 1
16 67 41 86 1
47 84 88 97 1
58 84 85 36 1
12 26 2 22 1
46 83 18 34 1
95 67 0 27 1
48 86 3 96 1
11 88 28 40 1
73 2 78 59 1
10 4 73 90 0
8 37 98 91 0
58 58 49 19 1
35 36 74 49 0
18 4 88 79 0
49 94 13 51 1
16 55 75 61 0
98 17 70 24 1
93 93 66 75 1
46 40 81 39 1
9 26 20 57 1
68 66 52 39 1
83 63 7 31 1
96 68 27 24 1
55 8 44 53 1
90 38 27 98 1
43 76 8 40 1
32 64 81 76 1
16 75 79 92 0
51 64 92 36 1
60 18 81 25 1
40 25 4 10 1
97 86 97 82 1
35 84 5 58 1
99 47 77 30 1
11 8 26 95 0
90 50 19 55 1
31 70 51 37 1
11 79 44 53 1
4 99 17 25 1
54 76 0 96 1
70 99 41 83 1
99 93 87 25 1
84 44 72 38 1
86 50 15 4 1
75 26 75 26 1
76 28 0 69 1
57 13 22 88 1
61 90 62 5 1
82 44 92 67 1
23 9 51 5 0
90 33 1 63 1
96 84 61 91 1
76 31 91 58 1
3 84 10 51 1
73 69 13 60 1
81 58 45 25 1
3 64 78 14 0
87 70 15 5 1
54 0 71 61 1
81 32 58 29 1
31 79 75 31 1
18 86 71 99 1
62 19 69 49 1
64 1 50 53 1
60 58 78 57 1
18 41 6 43 1
32 75 87 24 1
50 8 83 2 0
28 38 46 43 1
97 13 45 33 1
10 87 77 30 0
64 71 67 0 1
95 8 67 11 1
23 20 1 70 1
68 42 99 22 1
30 38 75 52 0
98 67 64 6 1
33 29 85 14 0
52 86 91 67 1
94 46 87 24 1
13 32 32 25 1
73 17 23 35 1
35 34 84 69 0
20 6 8 0 1
61 89 71 73 1
6 93 69 36 0
29 19 47 22 1
67 7 56 93 1
84 72 18 22 1
22 85 46 39 1
56 34 60 98 1
80 13 28 59 1
13 33 26 77 1
57 74 87 85 1
91 55 85 95 1
82 91 90 23 1
71 13 20 94 1
35 74 35 69 1
37 22 33 18 1
0 31 30 45 0
2 21 18 80 0
99 12 72 90 1
60 99 9 31 1
49 63 47 0 1
45 54 84 92 1
38 36 30 33 1
99 26 46 18 1
88 88 78 92 1
41 19 2 42 1
49 29 65 21 1
81 89 78 86 1
79 82 11 54 1
24 69 6 61 1
41 60 47 12 1
12 45 37 82 1
73 72 53 40 1
8 0 32 12 0
20 15 23 62 1
54 81 87 9 1
98 96 70 91 1
35 83 38 65 1
33 97 33 3 1
86 50 33 3 1
77 34 79 43 1
97 30 41 28 1
9 11 25 57 0
73 62 96 21 1
